"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Native!!Born in state of residence","Margin of Error!!Total!!Native!!Born in state of residence","Estimate!!Total!!Native!!Born in other state in the United States","Margin of Error!!Total!!Native!!Born in other state in the United States","Estimate!!Total!!Native!!Born in other state in the United States!!Northeast","Margin of Error!!Total!!Native!!Born in other state in the United States!!Northeast","Estimate!!Total!!Native!!Born in other state in the United States!!Midwest","Margin of Error!!Total!!Native!!Born in other state in the United States!!Midwest","Estimate!!Total!!Native!!Born in other state in the United States!!South","Margin of Error!!Total!!Native!!Born in other state in the United States!!South","Estimate!!Total!!Native!!Born in other state in the United States!!West","Margin of Error!!Total!!Native!!Born in other state in the United States!!West","Estimate!!Total!!Native!!Born outside the United States","Margin of Error!!Total!!Native!!Born outside the United States","Estimate!!Total!!Native!!Born outside the United States!!Puerto Rico","Margin of Error!!Total!!Native!!Born outside the United States!!Puerto Rico","Estimate!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Margin of Error!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Estimate!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Margin of Error!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen",
"0500000US01001","Autauga County, Alabama","54590","*****","53834","208","37156","916","15763","878","1591","351","3249","566","8986","693","1937","346","915","244","26","25","47","50","842","239","756","208","267","104","489","192",
"0500000US01003","Baldwin County, Alabama","183226","*****","176391","846","99694","2022","75363","2072","8171","708","17407","1136","44169","1890","5616","698","1334","256","145","83","14","24","1175","237","6835","846","2083","423","4752","754",
"0500000US01005","Barbour County, Alabama","27469","*****","26691","128","18792","538","7793","549","667","156","1275","242","5192","443","659","212","106","68","72","65","0","22","34","27","778","128","152","83","626","165",
"0500000US01007","Bibb County, Alabama","22769","*****","22484","158","19504","473","2917","492","294","145","700","255","1763","414","160","88","63","59","12","18","0","22","51","51","285","158","133","129","152","129",
"0500000US01009","Blount County, Alabama","57466","*****","54761","233","45815","793","8634","760","705","229","1539","296","5611","622","779","209","312","139","22","27","0","28","290","138","2705","233","437","133","2268","243",
"0500000US01011","Bullock County, Alabama","10779","*****","10287","511","9021","511","1233","422","208","196","384","225","578","217","63","78","33","37","0","19","0","19","33","37","492","511","123","112","369","407",
"0500000US01013","Butler County, Alabama","20730","*****","20459","94","17552","299","2875","289","415","110","595","205","1678","233","187","98","32","28","3","5","0","22","29","27","271","94","92","79","179","112",
"0500000US01015","Calhoun County, Alabama","117834","*****","115015","397","84743","1234","28948","1216","3291","456","5797","529","16957","1066","2903","377","1324","275","91","68","0","28","1233","258","2819","397","749","123","2070","390",
"0500000US01017","Chambers County, Alabama","34228","*****","33826","116","25914","670","7774","649","522","195","451","144","6323","657","478","162","138","90","10","18","0","25","128","83","402","116","120","54","282","130",
"0500000US01019","Cherokee County, Alabama","25917","*****","25719","103","14777","703","10803","705","327","119","877","227","9351","672","248","107","139","122","68","112","0","22","71","42","198","103","125","86","73","56",
"0500000US01021","Chilton County, Alabama","43611","*****","41570","310","34965","560","6452","640","866","224","965","233","4060","523","561","154","153","79","0","25","0","25","153","79","2041","310","392","183","1649","380",
"0500000US01023","Choctaw County, Alabama","13838","*****","13793","38","7896","378","5799","356","134","73","358","135","4962","351","345","139","98","80","0","19","0","19","98","80","45","38","29","29","16","28",
"0500000US01025","Clarke County, Alabama","25768","*****","25621","66","21919","505","3612","497","355","141","647","244","2366","388","244","116","90","59","23","35","9","15","58","44","147","66","78","53","69","44",
