"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M","B05002_016E","B05002_016M","B05002_017E","B05002_017M","B05002_018E","B05002_018M","B05002_019E","B05002_019M","B05002_020E","B05002_020M","B05002_021E","B05002_021M","B05002_022E","B05002_022M","B05002_023E","B05002_023M","B05002_024E","B05002_024M","B05002_025E","B05002_025M","B05002_026E","B05002_026M","B05002_027E","B05002_027M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Native:","Margin of Error!!Total:!!Native:","Estimate!!Total:!!Native:!!Born in state of residence","Margin of Error!!Total:!!Native:!!Born in state of residence","Estimate!!Total:!!Native:!!Born in other state in the United States:","Margin of Error!!Total:!!Native:!!Born in other state in the United States:","Estimate!!Total:!!Native:!!Born in other state in the United States:!!Northeast","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!Northeast","Estimate!!Total:!!Native:!!Born in other state in the United States:!!Midwest","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!Midwest","Estimate!!Total:!!Native:!!Born in other state in the United States:!!South","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!South","Estimate!!Total:!!Native:!!Born in other state in the United States:!!West","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!West","Estimate!!Total:!!Native:!!Born outside the United States:","Margin of Error!!Total:!!Native:!!Born outside the United States:","Estimate!!Total:!!Native:!!Born outside the United States:!!Puerto Rico","Margin of Error!!Total:!!Native:!!Born outside the United States:!!Puerto Rico","Estimate!!Total:!!Native:!!Born outside the United States:!!U.S. Island Areas","Margin of Error!!Total:!!Native:!!Born outside the United States:!!U.S. Island Areas","Estimate!!Total:!!Native:!!Born outside the United States:!!Born abroad of American parent(s)","Margin of Error!!Total:!!Native:!!Born outside the United States:!!Born abroad of American parent(s)","Estimate!!Total:!!Foreign born:","Margin of Error!!Total:!!Foreign born:","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Europe","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Europe","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Asia","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Asia","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Africa","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Africa","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Oceania","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Oceania","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Latin America","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Latin America","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Northern America","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Northern America","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Europe","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Europe","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Asia","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Asia","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Africa","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Africa","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Oceania","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Oceania","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Latin America","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Latin America","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Northern America","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Northern America",
"0500000US01001","Autauga County, Alabama","55639","*****","54336","348","37355","1038","16148","979","2071","443","4152","741","7684","685","2241","464","833","172","125","124","0","29","708","188","1303","348","639","228","50","44","311","159","78","106","0","29","200","129","0","29","664","319","252","267","117","100","57","78","12","21","226","171","0","29",
"0500000US01003","Baldwin County, Alabama","218289","*****","210820","885","113995","3034","94579","3138","10469","1337","20931","1947","54464","2510","8715","1382","2246","505","539","307","96","100","1611","374","7469","885","3691","671","982","304","865","237","250","143","0","29","1458","433","136","97","3778","601","720","316","520","248","35","43","41","38","2302","466","160","107",
"0500000US01005","Barbour County, Alabama","25026","*****","24387","98","17245","520","7049","512","620","143","1115","192","4946","470","368","114","93","61","28","33","0","23","65","53","639","98","249","95","11","17","27","31","0","23","0","23","201","90","10","9","390","115","23","20","86","50","0","23","0","23","264","110","17","21",
"0500000US01007","Bibb County, Alabama","22374","*****","22020","132","18846","520","3061","520","426","228","716","236","1619","427","300","196","113","81","0","23","15","26","98","78","354","132","147","94","16","33","66","82","0","23","0","23","65","48","0","23","207","66","1","3","0","23","0","23","0","23","206","65","0","23",
"0500000US01009","Blount County, Alabama","57755","*****","55241","269","45936","872","9064","833","759","252","1742","347","5683","744","880","197","241","105","24","41","27","46","190","91","2514","269","1077","267","110","79","137","96","8","13","0","29","810","223","12","10","1437","324","28","30","13","20","5","9","59","79","1332","310","0","29",
"0500000US01011","Bullock County, Alabama","10173","*****","10020","108","8784","291","1149","259","200","155","99","78","482","183","368","311","87","129","67","126","0","19","20","25","153","108","67","54","9","21","0","19","5","10","0","19","53","51","0","19","86","78","0","19","0","19","0","19","0","19","86","78","0","19",
"0500000US01013","Butler County, Alabama","19726","*****","19358","77","17030","264","2273","257","298","132","397","148","1342","194","236","135","55","45","0","19","16","25","39","37","368","77","87","66","56","41","0","19","0","19","0","19","31","51","0","19","281","64","9","17","236","37","0","19","0","19","36","45","0","19",
"0500000US01015","Calhoun County, Alabama","114324","*****","111479","347","82698","1417","27403","1397","2765","483","5691","863","15831","1074","3116","545","1378","238","114","102","306","126","958","214","2845","347","1322","301","318","160","469","187","49","62","12","20","464","152","10","21","1523","277","247","130","268","127","42","54","0","29","947","236","19","32",
"0500000US01017","Chambers County, Alabama","33427","*****","32806","172","24085","779","8578","758","364","152","786","261","6784","698","644","226","143","105","3","5","7","13","133","103","621","172","194","117","21","25","92","66","0","26","3","5","78","82","0","26","427","138","19","24","212","72","0","26","0","26","196","120","0","26",
