"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Native!!Born in state of residence","Margin of Error!!Total!!Native!!Born in state of residence","Estimate!!Total!!Native!!Born in other state in the United States","Margin of Error!!Total!!Native!!Born in other state in the United States","Estimate!!Total!!Native!!Born in other state in the United States!!Northeast","Margin of Error!!Total!!Native!!Born in other state in the United States!!Northeast","Estimate!!Total!!Native!!Born in other state in the United States!!Midwest","Margin of Error!!Total!!Native!!Born in other state in the United States!!Midwest","Estimate!!Total!!Native!!Born in other state in the United States!!South","Margin of Error!!Total!!Native!!Born in other state in the United States!!South","Estimate!!Total!!Native!!Born in other state in the United States!!West","Margin of Error!!Total!!Native!!Born in other state in the United States!!West","Estimate!!Total!!Native!!Born outside the United States","Margin of Error!!Total!!Native!!Born outside the United States","Estimate!!Total!!Native!!Born outside the United States!!Puerto Rico","Margin of Error!!Total!!Native!!Born outside the United States!!Puerto Rico","Estimate!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Margin of Error!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Estimate!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Margin of Error!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen",
"0500000US01001","Autauga County, Alabama","53155","*****","52100","253","35666","900","15565","870","1399","252","3121","523","8886","604","2159","386","869","217","45","38","5","6","819","211","1055","253","440","108","615","249",
"0500000US01003","Baldwin County, Alabama","175791","*****","169376","753","94067","2028","73926","2023","8141","804","17394","975","42901","1782","5490","674","1383","316","143","83","7","12","1233","300","6415","753","1756","312","4659","714",
"0500000US01005","Barbour County, Alabama","27699","*****","26921","198","19871","473","6953","480","661","159","853","209","4779","429","660","237","97","66","50","54","0","119","47","37","778","198","134","77","644","175",
"0500000US01007","Bibb County, Alabama","22610","*****","22457","158","19430","578","2984","566","339","142","768","245","1565","375","312","261","43","35","6","9","0","119","37","34","153","158","109","137","44","67",
"0500000US01009","Blount County, Alabama","56692","*****","54017","338","45083","746","8798","793","632","231","1549","277","5673","648","944","290","136","80","16","23","0","119","120","77","2675","338","313","115","2362","334",
"0500000US01011","Bullock County, Alabama","10923","*****","10799","103","9357","423","1396","406","238","198","236","142","829","289","93","104","46","42","0","119","0","119","46","42","124","103","107","98","17","27",
"0500000US01013","Butler County, Alabama","20895","*****","20671","113","17740","421","2882","386","372","133","530","217","1772","328","208","103","49","34","0","119","0","119","49","34","224","113","81","69","143","101",
"0500000US01015","Calhoun County, Alabama","117149","*****","114181","401","83750","1386","29276","1285","3719","497","5853","589","16458","923","3246","494","1155","300","93","63","19","30","1043","279","2968","401","931","195","2037","380",
"0500000US01017","Chambers County, Alabama","34579","*****","34278","105","25331","706","8795","700","600","149","865","223","6884","621","446","134","152","69","34","39","0","119","118","63","301","105","69","63","232","112",
