"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M","B05002_016E","B05002_016M","B05002_017E","B05002_017M","B05002_018E","B05002_018M","B05002_019E","B05002_019M","B05002_020E","B05002_020M","B05002_021E","B05002_021M","B05002_022E","B05002_022M","B05002_023E","B05002_023M","B05002_024E","B05002_024M","B05002_025E","B05002_025M","B05002_026E","B05002_026M","B05002_027E","B05002_027M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Native!!Born in state of residence","Margin of Error!!Total!!Native!!Born in state of residence","Estimate!!Total!!Native!!Born in other state in the United States","Margin of Error!!Total!!Native!!Born in other state in the United States","Estimate!!Total!!Native!!Born in other state in the United States!!Northeast","Margin of Error!!Total!!Native!!Born in other state in the United States!!Northeast","Estimate!!Total!!Native!!Born in other state in the United States!!Midwest","Margin of Error!!Total!!Native!!Born in other state in the United States!!Midwest","Estimate!!Total!!Native!!Born in other state in the United States!!South","Margin of Error!!Total!!Native!!Born in other state in the United States!!South","Estimate!!Total!!Native!!Born in other state in the United States!!West","Margin of Error!!Total!!Native!!Born in other state in the United States!!West","Estimate!!Total!!Native!!Born outside the United States","Margin of Error!!Total!!Native!!Born outside the United States","Estimate!!Total!!Native!!Born outside the United States!!Puerto Rico","Margin of Error!!Total!!Native!!Born outside the United States!!Puerto Rico","Estimate!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Margin of Error!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Estimate!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Margin of Error!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Europe","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Europe","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Asia","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Asia","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Africa","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Africa","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Oceania","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Oceania","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Latin America","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Latin America","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Northern America","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Northern America","Estimate!!Total!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Europe","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Europe","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Asia","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Asia","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Africa","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Africa","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Oceania","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Oceania","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Latin America","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Latin America","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Northern America","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Northern America",
"0500000US01001","Autauga County, Alabama","55049","*****","54037","262","38663","868","14574","881","1641","365","3147","517","7875","753","1911","395","800","246","11","20","26","37","763","241","1012","262","475","174","112","81","148","84","0","27","0","27","210","119","5","9","537","263","42","35","179","136","0","27","73","120","231","150","12","20",
"0500000US01003","Baldwin County, Alabama","199510","*****","192987","706","107762","2437","83573","2396","8967","1027","19062","1579","47742","2275","7802","1032","1652","337","256","136","57","45","1339","326","6523","706","2670","487","739","208","541","212","82","93","29","38","1082","335","197","113","3853","760","477","202","669","311","71","81","18","30","2595","740","23","23",
"0500000US01005","Barbour County, Alabama","26614","*****","25853","82","18657","443","7072","464","593","151","1173","237","4937","413","369","129","124","65","8","13","5","8","111","62","761","82","233","114","35","46","44","15","0","21","0","21","154","113","0","21","528","118","33","43","8","18","0","21","0","21","487","109","0","21",
"0500000US01007","Bibb County, Alabama","22572","*****","22267","85","18708","508","3484","505","478","337","930","294","1583","308","493","186","75","52","7","14","16","25","52","43","305","85","78","69","35","52","0","21","0","21","0","21","43","48","0","21","227","63","8","14","14","25","0","21","0","21","205","58","0","21",
"0500000US01009","Blount County, Alabama","57704","*****","55239","283","45649","945","9275","915","874","216","1644","279","5479","782","1278","273","315","169","100","112","0","27","215","104","2465","283","687","173","73","40","63","37","17","25","0","27","526","175","8","10","1778","339","36","39","79","23","46","46","0","27","1601","325","16","25",
"0500000US01011","Bullock County, Alabama","10552","*****","10392","122","8875","341","1502","329","165","101","440","233","870","234","27","26","15","28","0","18","0","18","15","28","160","122","77","55","23","37","38","41","5","27","0","18","11","18","0","18","83","106","0","18","0","18","53","67","0","18","30","42","0","18",
"0500000US01013","Butler County, Alabama","20280","*****","19997","56","17129","302","2782","298","400","115","475","150","1704","222","203","87","86","50","4","6","0","21","82","49","283","56","163","93","5","7","80","84","0","21","0","21","78","62","0","21","120","77","0","21","89","74","0","21","0","21","31","29","0","21",
"0500000US01015","Calhoun County, Alabama","115883","*****","113109","333","84825","1387","27023","1293","2846","397","4996","598","16497","1012","2684","407","1261","344","200","160","0","27","1061","285","2774","333","1015","206","198","82","380","122","92","115","9","14","301","113","35","51","1759","297","289","141","366","166","28","32","0","27","1062","205","14","18",
"0500000US01017","Chambers County, Alabama","34018","*****","33681","56","25969","571","7614","563","417","119","666","164","6125","470","406","136","98","57","0","24","5","8","93","58","337","56","52","27","5","8","47","27","0","24","0","24","0","24","0","24","285","64","6","9","228","59","24","37","0","24","27","30","0","24",
