"GEO_ID","NAME","H001001","H001002","H001003",
"Geography","Geographic Area Name","Total","Total!!Occupied","Total!!Vacant",
"0500000US01001","Autauga County, Alabama","22135","20221","1914",
"0500000US01003","Baldwin County, Alabama","104061","73180","30881",
"0500000US01005","Barbour County, Alabama","11829(r15033)","9820","2009(r10627)",
"0500000US01007","Bibb County, Alabama","8981","7953","1028",
"0500000US01009","Blount County, Alabama","23887","21578","2309",
"0500000US01011","Bullock County, Alabama","4493","3745","748",
"0500000US01013","Butler County, Alabama","9964","8491","1473",
"0500000US01015","Calhoun County, Alabama","53289","47331","5958",
"0500000US01017","Chambers County, Alabama","17004","13933","3071",
"0500000US01019","Cherokee County, Alabama","16267","10626","5641",
"0500000US01021","Chilton County, Alabama","19278","16558","2720",
"0500000US01023","Choctaw County, Alabama","7269","5866","1403",
"0500000US01025","Clarke County, Alabama","12638","10337","2301",
"0500000US01027","Clay County, Alabama","6776","5670","1106",
"0500000US01029","Cleburne County, Alabama","6718","5891","827",
"0500000US01031","Coffee County, Alabama","22330","19849","2481",
"0500000US01033","Colbert County, Alabama","25758","22773","2985",
"0500000US01035","Conecuh County, Alabama","7093","5625","1468",
"0500000US01037","Coosa County, Alabama","6478","4794","1684",
"0500000US01039","Covington County, Alabama","18829","15531","3298",
"0500000US01041","Crenshaw County, Alabama","6735","5652","1083",
"0500000US01043","Cullman County, Alabama","37054","31864","5190",
"0500000US01045","Dale County, Alabama","22677","20065","2612",
"0500000US01047","Dallas County, Alabama","20208","17064","3144",
"0500000US01049","DeKalb County, Alabama","31109","26842","4267",
"0500000US01051","Elmore County, Alabama","32657","28301","4356",
"0500000US01053","Escambia County, Alabama","16486","14157","2329",
"0500000US01055","Etowah County, Alabama","47454","42036","5418",
"0500000US01057","Fayette County, Alabama","8437","7100","1337",
"0500000US01059","Franklin County, Alabama","14022","12286","1736",
"0500000US01061","Geneva County, Alabama","12687","10920","1767",
"0500000US01063","Greene County, Alabama","5007","3764","1243",
"0500000US01065","Hale County, Alabama","7655","6273","1382",
"0500000US01067","Henry County, Alabama","8891","6994","1897",
"0500000US01069","Houston County, Alabama","45319","40969","4350",
"0500000US01071","Jackson County, Alabama","24786","21513","3273",
"0500000US01073","Jefferson County, Alabama","300552(r15062)","263568(r427)","36984(r10639)",
"0500000US01075","Lamar County, Alabama","7354","6103","1251",
"0500000US01077","Lauderdale County, Alabama","43791","38680","5111",
"0500000US01079","Lawrence County, Alabama","15229","13654","1575",
"0500000US01081","Lee County, Alabama","62391(r14841)","55682(r219)","6709(r10559)",
"0500000US01083","Limestone County, Alabama","34977","31446","3531",
"0500000US01085","Lowndes County, Alabama","5140","4352","788",
"0500000US01087","Macon County, Alabama","10259","8499","1760",
"0500000US01089","Madison County, Alabama","146447","134700","11747",
"0500000US01091","Marengo County, Alabama","10237","8535","1702",
"0500000US01093","Marion County, Alabama","14737","12651","2086",
"0500000US01095","Marshall County, Alabama","40342","35810","4532",
"0500000US01097","Mobile County, Alabama","178196(r14961)","158435(r333)","19761",
"0500000US01099","Monroe County, Alabama","11333","9214","2119",
"0500000US01101","Montgomery County, Alabama","101641","89981","11660",
"0500000US01103","Morgan County, Alabama","51193","47030","4163",
"0500000US01105","Perry County, Alabama","4737","3947","790",
"0500000US01107","Pickens County, Alabama","9483","8012","1471",
"0500000US01109","Pike County, Alabama","15267","13210","2057",
"0500000US01111","Randolph County, Alabama","11982","9164","2818",
"0500000US01113","Russell County, Alabama","24595","21229","3366",
"0500000US01115","St. Clair County, Alabama","35541","31624","3917",
"0500000US01117","Shelby County, Alabama","80970","74072","6898",
"0500000US01119","Sumter County, Alabama","6786","5629","1157",
"0500000US01121","Talladega County, Alabama","37088","31890","5198",
"0500000US01123","Tallapoosa County, Alabama","22111","16985","5126",
"0500000US01125","Tuscaloosa County, Alabama","84872","76141","8731",
"0500000US01127","Walker County, Alabama","30816","26571","4245",
"0500000US01129","Washington County, Alabama","8407","6758","1649",
"0500000US01131","Wilcox County, Alabama","5649","4484","1165",
"0500000US01133","Winston County, Alabama","13469","10163","3306",
"0500000US02013","Aleutians East Borough, Alaska","747","553","194",
"0500000US02016","Aleutians West Census Area, Alaska","1929","1212","717",
"0500000US02020","Anchorage Municipality, Alaska","113032","107332","5700",
"0500000US02050","Bethel Census Area, Alaska","5919","4651","1268",
"0500000US02060","Bristol Bay Borough, Alaska","969","423","546",
"0500000US02068","Denali Borough, Alaska","1771","806","965",
"0500000US02070","Dillingham Census Area, Alaska","2427","1563","864",
"0500000US02090","Fairbanks North Star Borough, Alaska","41783","36441","5342",
"0500000US02100","Haines Borough, Alaska","1631","1149","482",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","1771","913","858",
"0500000US02110","Juneau City and Borough, Alaska","13055","12187","868",
"0500000US02122","Kenai Peninsula Borough, Alaska","30578","22161","8417",
"0500000US02130","Ketchikan Gateway Borough, Alaska","6166","5305","861",
"0500000US02150","Kodiak Island Borough, Alaska","5303","4630","673",
"0500000US02164","Lake and Peninsula Borough, Alaska","1502(r15613)","553(r956)","949(r10878)",
"0500000US02170","Matanuska-Susitna Borough, Alaska","41329","31824","9505",
"0500000US02180","Nome Census Area, Alaska","4008","2815","1193",
"0500000US02185","North Slope Borough, Alaska","2500","2029","471",
"0500000US02188","Northwest Arctic Borough, Alaska","2707","1919","788",
"0500000US02195","Petersburg Census Area, Alaska","1994","1599","395",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","2992","2194","798",
"0500000US02220","Sitka City and Borough, Alaska","4102","3545","557",
"0500000US02230","Skagway Municipality, Alaska","636","436","200",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","3915","2567","1348",
"0500000US02261","Valdez-Cordova Census Area, Alaska","6102","3966","2136",
"0500000US02270","Wade Hampton Census Area, Alaska","2183","1745","438",
"0500000US02275","Wrangell City and Borough, Alaska","1428","1053","375",
"0500000US02282","Yakutat City and Borough, Alaska","450","270","180",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","4038","2217","1821",
"0500000US04001","Apache County, Arizona","32514","22771","9743",
"0500000US04003","Cochise County, Arizona","59041","50865","8176",
"0500000US04005","Coconino County, Arizona","63321","46711","16610",
"0500000US04007","Gila County, Arizona","32698","22000","10698",
"0500000US04009","Graham County, Arizona","12980","11120","1860",
"0500000US04011","Greenlee County, Arizona","4372","3188","1184",
"0500000US04012","La Paz County, Arizona","16049","9198","6851",
"0500000US04013","Maricopa County, Arizona","1639279","1411583","227696",
"0500000US04015","Mohave County, Arizona","110911","82539","28372",
"0500000US04017","Navajo County, Arizona","56938","35658","21280",
"0500000US04019","Pima County, Arizona","440909","388660","52249",
"0500000US04021","Pinal County, Arizona","159222","125590","33632",
"0500000US04023","Santa Cruz County, Arizona","18010","15437","2573",
"0500000US04025","Yavapai County, Arizona","110432","90903","19529",
"0500000US04027","Yuma County, Arizona","87850","64767","23083",
"0500000US05001","Arkansas County, Arkansas","9436","8005","1431",
"0500000US05003","Ashley County, Arkansas","10137","8765","1372",
"0500000US05005","Baxter County, Arkansas","22580","18748","3832",
"0500000US05007","Benton County, Arkansas","93084","82087","10997",
"0500000US05009","Boone County, Arkansas","16827","15120","1707",
"0500000US05011","Bradley County, Arkansas","5860","4673","1187",
"0500000US05013","Calhoun County, Arkansas","2897","2262","635",
"0500000US05015","Carroll County, Arkansas","13559","11393","2166",
"0500000US05017","Chicot County, Arkansas","5421","4579","842",
"0500000US05019","Clark County, Arkansas","10385","8783","1602",
"0500000US05021","Clay County, Arkansas","8031","6845","1186",
"0500000US05023","Cleburne County, Arkansas","15826","11078","4748",
"0500000US05025","Cleveland County, Arkansas","4064","3416","648",
"0500000US05027","Columbia County, Arkansas","11596","9759","1837",
"0500000US05029","Conway County, Arkansas","9720","8463","1257",
"0500000US05031","Craighead County, Arkansas","40515","37291","3224",
"0500000US05033","Crawford County, Arkansas","26115","23447","2668",
