"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0500000US01001","Autauga County, Alabama","22308","369","4.4","1.2","2.9","0.8","10.6","1.9","7.0","1.4","12.2","1.9","16.4","2.2","14.5","2.2","17.8","2.1","6.8","1.1","7.4","1.7","68315","4941","90372","6459","34.0","(X)","(X)","(X)","(X)","(X)","15363","619","3.2","1.2","1.0","0.7","5.6","1.5","5.0","1.4","12.1","2.4","16.7","2.6","16.6","3.0","20.6","2.7","9.1","1.6","10.0","2.2","83790","6122","107038","8270","(X)","(X)","33.5","(X)","(X)","(X)","11889","610","2.5","1.3","0.1","0.1","4.1","1.8","3.6","1.4","9.8","2.5","14.2","2.9","16.5","2.8","25.8","3.4","11.1","2.0","12.5","2.7","98852","6794","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6945","529","7.7","2.5","8.3","2.5","21.1","4.9","12.8","3.0","12.0","3.1","16.2","3.8","10.0","2.7","8.8","2.7","1.7","1.2","1.5","1.2","35352","6814","50990","4927","(X)","(X)","(X)","(X)","33.7","(X)",
"0500000US01003","Baldwin County, Alabama","90802","1229","4.5","0.9","4.2","0.7","7.0","0.8","8.1","0.9","12.1","1.1","16.0","1.3","14.4","1.4","17.0","1.2","7.5","0.9","9.1","0.9","71039","2374","96027","2623","35.3","(X)","(X)","(X)","(X)","(X)","61277","1764","2.2","0.6","1.9","0.5","4.2","0.8","5.3","0.9","10.7","1.3","15.9","1.4","16.2","1.7","21.2","1.7","9.9","1.4","12.6","1.3","89953","3804","115729","3686","(X)","(X)","38.0","(X)","(X)","(X)","51019","1731","0.8","0.3","1.0","0.4","2.6","0.6","4.4","0.9","9.2","1.2","14.9","1.6","17.3","1.9","24.1","1.9","11.0","1.7","14.7","1.5","99817","2974","127397","4283","(X)","(X)","(X)","(X)","(X)","(X)","29525","1574","9.6","2.2","9.5","1.8","12.8","2.2","14.8","2.0","15.6","1.9","16.6","2.1","10.0","2.2","7.3","1.5","2.0","0.7","1.8","0.7","37368","3205","52702","3455","(X)","(X)","(X)","(X)","28.5","(X)",
"0500000US01005","Barbour County, Alabama","9016","304","10.2","2.5","8.2","2.1","16.3","2.7","11.0","2.2","13.2","2.1","15.4","2.4","8.3","2.2","10.9","2.4","2.8","1.0","3.8","1.2","39712","3289","60128","4287","51.7","(X)","(X)","(X)","(X)","(X)","5722","278","7.9","2.5","6.4","2.6","9.1","3.0","11.2","3.0","12.4","2.6","16.7","2.7","13.4","3.7","13.8","3.4","4.2","1.5","5.0","1.7","55672","6591","72854","5541","(X)","(X)","53.6","(X)","(X)","(X)","3431","280","1.2","0.9","1.3","0.9","7.0","2.9","7.7","2.7","13.8","4.1","21.8","3.7","14.3","5.2","18.8","4.9","6.3","2.2","7.8","2.8","72416","5332","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3294","313","15.2","5.3","12.5","3.7","28.9","4.9","12.2","3.8","13.2","3.8","11.6","3.8","1.1","0.7","3.4","1.9","0.2","0.4","1.7","1.2","22092","2276","35246","5708","(X)","(X)","(X)","(X)","48.5","(X)",
"0500000US01007","Bibb County, Alabama","7216","252","7.6","2.5","9.1","3.5","10.9","3.0","10.5","3.0","11.2","2.7","17.0","3.5","14.8","4.2","12.3","2.9","3.0","1.3","3.5","1.5","50669","8260","65131","5102","36.8","(X)","(X)","(X)","(X)","(X)","4871","377","8.2","3.1","1.6","1.1","7.6","3.3","7.0","4.2","10.6","3.6","20.8","4.9","17.7","5.5","17.6","4.5","4.2","1.9","4.8","2.2","70064","6644","77970","6108","(X)","(X)","39.0","(X)","(X)","(X)","3617","399","3.1","1.6","0.4","0.5","3.8","2.1","8.1","5.3","10.0","4.2","18.9","4.7","21.4","6.7","23.4","5.7","4.9","2.3","6.1","3.0","81703","10780","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2345","363","8.4","4.4","25.7","9.3","18.1","6.3","17.9","6.6","10.7","4.9","8.4","3.7","8.2","5.2","1.4","1.6","0.6","0.8","0.7","0.8","23520","5811","36810","8120","(X)","(X)","(X)","(X)","32.2","(X)",
"0500000US01009","Blount County, Alabama","21626","386","6.7","1.6","5.2","1.2","8.5","1.2","9.7","1.7","14.2","1.7","16.4","1.8","12.9","1.6","15.3","1.8","6.4","1.4","4.9","1.0","57440","3308","75954","3672","41.7","(X)","(X)","(X)","(X)","(X)","15416","526","2.9","1.0","2.3","0.9","5.1","1.3","8.9","2.0","12.3","1.9","19.7","2.4","15.4","2.6","20.2","2.4","7.2","1.5","6.1","1.4","73528","3758","87850","4652","(X)","(X)","42.2","(X)","(X)","(X)","12066","557","1.4","0.9","2.0","1.0","3.9","1.3","7.8","2.1","10.8","2.3","18.6","2.9","17.0","2.8","22.1","2.5","8.8","1.9","7.6","1.7","81417","4909","96602","5191","(X)","(X)","(X)","(X)","(X)","(X)","6210","522","16.5","4.6","13.1","3.3","18.1","3.7","12.2","3.0","19.0","4.4","8.4","2.5","5.7","1.9","4.7","2.0","0.5","0.6","1.8","1.2","26228","2679","41450","5569","(X)","(X)","(X)","(X)","37.6","(X)",
"0500000US01011","Bullock County, Alabama","3450","214","12.8","4.7","10.3","4.5","15.4","5.2","9.2","4.0","16.2","5.5","12.2","4.2","8.0","4.0","12.1","4.5","1.5","1.6","2.3","1.8","36136","4731","52269","5618","65.7","(X)","(X)","(X)","(X)","(X)","2248","259","9.6","6.1","3.5","2.9","12.6","6.5","10.0","4.9","18.2","7.8","14.3","7.3","8.8","5.2","17.2","6.3","2.3","2.4","3.5","2.7","43750","9187","64959","8415","(X)","(X)","67.0","(X)","(X)","(X)","1184","227","11.7","9.4","0.0","3.1","12.4","8.4","2.9","2.8","9.6","6.3","19.4","10.2","7.2","7.0","25.9","10.9","4.1","4.5","6.7","5.2","66797","13311","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1202","245","20.0","10.0","21.8","11.9","21.2","10.0","9.5","5.5","17.1","8.9","6.0","4.8","1.9","1.7","2.6","5.1","0.0","3.1","0.0","3.1","16587","3811","25138","6430","(X)","(X)","(X)","(X)","61.4","(X)",
"0500000US01013","Butler County, Alabama","7131","321","6.0","1.5","6.1","1.5","17.1","2.6","11.0","2.5","14.7","2.2","15.0","2.5","11.7","2.3","9.3","1.9","5.9","2.0","3.3","1.0","44429","4102","65988","5424","41.1","(X)","(X)","(X)","(X)","(X)","4620","304","4.3","2.0","3.9","1.6","12.1","3.0","9.4","2.6","12.2","2.7","16.7","3.2","14.8","2.8","13.4","2.6","8.7","3.0","4.5","1.6","59217","8089","79960","7643","(X)","(X)","45.3","(X)","(X)","(X)","3241","281","2.1","2.0","2.8","1.8","7.0","2.8","6.4","2.9","12.0","3.2","17.7","4.1","18.0","3.8","17.4","3.6","11.7","4.1","5.0","2.1","78570","8398","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2511","344","10.2","3.0","10.3","3.5","25.7","5.5","14.4","4.3","18.1","4.3","13.4","4.0","5.0","2.9","1.6","1.1","0.2","0.4","1.0","1.0","28478","3022","38664","6120","(X)","(X)","(X)","(X)","32.9","(X)",
"0500000US01015","Calhoun County, Alabama","44693","646","8.0","1.1","6.0","0.8","9.8","1.2","11.0","1.4","12.0","1.3","18.0","1.4","13.1","1.5","14.3","1.4","4.2","0.8","3.4","0.6","54339","2221","69213","1979","37.7","(X)","(X)","(X)","(X)","(X)","28213","936","4.4","1.1","3.1","0.9","7.3","1.1","9.8","1.9","11.1","1.5","18.6","2.0","15.8","1.9","19.1","1.9","6.3","1.2","4.5","0.9","68959","2470","83279","2746","(X)","(X)","38.8","(X)","(X)","(X)","19177","835","1.9","0.8","1.5","0.6","3.8","0.9","6.7","1.9","10.5","1.9","18.4","2.3","18.1","2.3","24.2","2.3","8.4","1.7","6.5","1.2","83953","5085","98922","3684","(X)","(X)","(X)","(X)","(X)","(X)","16480","891","15.0","2.1","11.8","1.9","17.2","2.4","12.8","1.9","12.3","2.1","16.7","2.3","7.6","1.9","5.0","1.7","0.8","0.5","0.8","0.5","29568","2221","41234","2668","(X)","(X)","(X)","(X)","34.2","(X)",
"0500000US01017","Chambers County, Alabama","13143","375","5.1","1.2","7.8","2.1","12.5","2.4","11.6","2.1","14.0","2.2","17.8","2.8","12.3","2.3","11.4","2.0","4.0","1.6","3.5","1.3","48805","5967","64377","4368","51.4","(X)","(X)","(X)","(X)","(X)","8880","417","2.8","1.1","3.9","1.6","8.7","2.6","10.9","2.4","16.3","2.9","19.1","3.4","14.7","3.0","14.5","2.7","5.2","2.2","4.0","1.7","60000","6129","72690","4789","(X)","(X)","54.1","(X)","(X)","(X)","5775","497","0.8","0.6","2.7","1.7","3.8","1.9","7.8","1.8","14.2","4.0","22.1","4.0","16.6","3.7","18.5","3.5","7.6","3.2","5.9","2.6","72184","7360","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4263","425","11.5","2.7","16.0","5.1","21.8","4.6","14.6","4.3","11.1","3.0","13.1","4.6","4.6","2.2","4.8","3.0","1.2","1.6","1.3","1.2","25561","3732","38597","4035","(X)","(X)","(X)","(X)","42.6","(X)",
