,election_year,fips,election_type,office,seat_status,democratic_raw_votes,republican_raw_votes,gov_raw_county_vote_totals_two_party
43,2002.0,1001.0,G,GOV,Democratic Incumbent,5137.0,9345.0,14482.0
44,2006.0,1001.0,G,GOV,Republican Incumbent,4399.0,9556.0,13955.0
45,2010.0,1001.0,G,GOV,Republican Open Seat,5971.0,11943.0,17914.0
46,2014.0,1001.0,G,GOV,Republican Incumbent,3646.0,9449.0,13095.0
47,2018.0,1001.0,G,GOV,Republican Open Seat,5734.0,13994.0,19728.0
91,2002.0,1003.0,G,GOV,Democratic Incumbent,12736.0,31052.0,43788.0
92,2006.0,1003.0,G,GOV,Republican Incumbent,10604.0,34969.0,45573.0
93,2010.0,1003.0,G,GOV,Republican Open Seat,12621.0,44126.0,56747.0
94,2014.0,1003.0,G,GOV,Republican Incumbent,8452.0,37783.0,46235.0
95,2018.0,1003.0,G,GOV,Republican Open Seat,20464.0,57415.0,77879.0
139,2002.0,1005.0,G,GOV,Democratic Incumbent,4858.0,3183.0,8041.0
140,2006.0,1005.0,G,GOV,Republican Incumbent,3349.0,2866.0,6215.0
141,2010.0,1005.0,G,GOV,Republican Open Seat,5127.0,3229.0,8356.0
142,2014.0,1005.0,G,GOV,Republican Incumbent,3657.0,3114.0,6771.0
143,2018.0,1005.0,G,GOV,Republican Open Seat,4043.0,4336.0,8379.0
187,2002.0,1007.0,G,GOV,Democratic Incumbent,3178.0,3091.0,6269.0
188,2006.0,1007.0,G,GOV,Republican Incumbent,2207.0,3263.0,5470.0
189,2010.0,1007.0,G,GOV,Republican Open Seat,2048.0,4384.0,6432.0
190,2014.0,1007.0,G,GOV,Republican Incumbent,1368.0,3525.0,4893.0
191,2018.0,1007.0,G,GOV,Republican Open Seat,1799.0,5082.0,6881.0
235,2002.0,1009.0,G,GOV,Democratic Incumbent,6393.0,8866.0,15259.0
236,2006.0,1009.0,G,GOV,Republican Incumbent,5058.0,8877.0,13935.0
237,2010.0,1009.0,G,GOV,Republican Open Seat,3748.0,13024.0,16772.0
238,2014.0,1009.0,G,GOV,Republican Incumbent,2179.0,12081.0,14260.0
239,2018.0,1009.0,G,GOV,Republican Open Seat,2479.0,16984.0,19463.0
282,2002.0,1011.0,G,GOV,Democratic Incumbent,2825.0,1051.0,3876.0
283,2006.0,1011.0,G,GOV,Republican Incumbent,2217.0,881.0,3098.0
284,2010.0,1011.0,G,GOV,Republican Open Seat,3018.0,874.0,3892.0
285,2014.0,1011.0,G,GOV,Republican Incumbent,2444.0,747.0,3191.0
286,2018.0,1011.0,G,GOV,Republican Open Seat,2729.0,949.0,3678.0
