,election_year,fips,election_type,office,seat_status,democratic_raw_votes,republican_raw_votes,senate_raw_county_vote_totals_two_party
31,2002.0,1001,G,SEN,Republican Senator re-election,3819.0,10687.0,14506.0
32,2004.0,1001,G,SEN,Republican Senator re-election,3960.0,15728.0,19688.0
33,2008.0,1001,G,SEN,Republican Senator re-election,5316.0,17941.0,23257.0
34,2010.0,1001,G,SEN,Republican Senator re-election,3978.0,13980.0,17958.0
35,2014.0,1001,G,SEN,Republican Senator re-election,0.0,10345.0,10345.0
36,2016.0,1001,G,SEN,Republican Senator re-election,6331.0,18220.0,24551.0
37,2017.0,1001,S,SEN,Republican open seat,5615.0,8762.0,14377.0
38,2020.0,1001,G,SEN,Democratic Senator re-election,8277.0,19387.0,27664.0
70,2002.0,1003,G,SEN,Republican Senator re-election,9525.0,34327.0,43852.0
71,2004.0,1003,G,SEN,Republican Senator re-election,13509.0,54503.0,68012.0
72,2008.0,1003,G,SEN,Republican Senator re-election,16456.0,63685.0,80141.0
73,2010.0,1003,G,SEN,Republican Senator re-election,11027.0,46471.0,57498.0
74,2014.0,1003,G,SEN,Republican Senator re-election,0.0,39135.0,39135.0
75,2016.0,1003,G,SEN,Republican Senator re-election,19145.0,74021.0,93166.0
76,2017.0,1003,S,SEN,Republican open seat,22261.0,38566.0,60827.0
77,2020.0,1003,G,SEN,Democratic Senator re-election,28925.0,80200.0,109125.0
109,2002.0,1005,G,SEN,Republican Senator re-election,3793.0,4057.0,7850.0
110,2004.0,1005,G,SEN,Republican Senator re-election,3989.0,6323.0,10312.0
111,2008.0,1005,G,SEN,Republican Senator re-election,5435.0,5772.0,11207.0
112,2010.0,1005,G,SEN,Republican Senator re-election,4030.0,4242.0,8272.0
113,2014.0,1005,G,SEN,Republican Senator re-election,0.0,3475.0,3475.0
114,2016.0,1005,G,SEN,Republican Senator re-election,4777.0,5436.0,10213.0
115,2017.0,1005,S,SEN,Republican open seat,3716.0,2702.0,6418.0
116,2020.0,1005,G,SEN,Democratic Senator re-election,5021.0,5449.0,10470.0
148,2002.0,1007,G,SEN,Republican Senator re-election,2553.0,3667.0,6220.0
149,2004.0,1007,G,SEN,Republican Senator re-election,1828.0,5763.0,7591.0
150,2008.0,1007,G,SEN,Republican Senator re-election,2267.0,6276.0,8543.0
151,2010.0,1007,G,SEN,Republican Senator re-election,1569.0,4849.0,6418.0
152,2014.0,1007,G,SEN,Republican Senator re-election,0.0,3901.0,3901.0
153,2016.0,1007,G,SEN,Republican Senator re-election,2082.0,6612.0,8694.0
154,2017.0,1007,S,SEN,Republican open seat,1567.0,3599.0,5166.0
