,election_year,fips,election_type,office,seat_status,democratic_raw_votes,republican_raw_votes,pres_raw_county_vote_totals_two_party
34,2004.0,1001.0,G,PRES,Republican President Re-election,4758.0,15196.0,19954.0
35,2008.0,1001.0,G,PRES,Open Seat,6093.0,17403.0,23496.0
36,2012.0,1001.0,G,PRES,Democratic President Re-election,6363.0,17379.0,23742.0
37,2016.0,1001.0,G,PRES,Open Seat,5936.0,18172.0,24108.0
38,2020.0,1001.0,G,PRES,Republican President Re-election,7503.0,19838.0,27341.0
73,2004.0,1003.0,G,PRES,Republican President Re-election,15599.0,52971.0,68570.0
74,2008.0,1003.0,G,PRES,Open Seat,19386.0,61271.0,80657.0
75,2012.0,1003.0,G,PRES,Democratic President Re-election,18424.0,66016.0,84440.0
76,2016.0,1003.0,G,PRES,Open Seat,18458.0,72883.0,91341.0
77,2020.0,1003.0,G,PRES,Republican President Re-election,24578.0,83544.0,108122.0
112,2004.0,1005.0,G,PRES,Republican President Re-election,4832.0,5899.0,10731.0
113,2008.0,1005.0,G,PRES,Open Seat,5697.0,5866.0,11563.0
114,2012.0,1005.0,G,PRES,Democratic President Re-election,5912.0,5550.0,11462.0
115,2016.0,1005.0,G,PRES,Open Seat,4871.0,5454.0,10325.0
116,2020.0,1005.0,G,PRES,Republican President Re-election,4816.0,5622.0,10438.0
151,2004.0,1007.0,G,PRES,Republican President Re-election,2089.0,5472.0,7561.0
152,2008.0,1007.0,G,PRES,Open Seat,2299.0,6262.0,8561.0
153,2012.0,1007.0,G,PRES,Democratic President Re-election,2202.0,6132.0,8334.0
154,2016.0,1007.0,G,PRES,Open Seat,1874.0,6738.0,8612.0
155,2020.0,1007.0,G,PRES,Republican President Re-election,1986.0,7525.0,9511.0
190,2004.0,1009.0,G,PRES,Republican President Re-election,3938.0,17386.0,21324.0
191,2008.0,1009.0,G,PRES,Open Seat,3522.0,20389.0,23911.0
192,2012.0,1009.0,G,PRES,Democratic President Re-election,2970.0,20757.0,23727.0
193,2016.0,1009.0,G,PRES,Open Seat,2156.0,22859.0,25015.0
194,2020.0,1009.0,G,PRES,Republican President Re-election,2640.0,24711.0,27351.0
229,2004.0,1011.0,G,PRES,Republican President Re-election,3210.0,1494.0,4704.0
230,2008.0,1011.0,G,PRES,Open Seat,4011.0,1391.0,5402.0
231,2012.0,1011.0,G,PRES,Democratic President Re-election,4061.0,1251.0,5312.0
232,2016.0,1011.0,G,PRES,Open Seat,3530.0,1140.0,4670.0
233,2020.0,1011.0,G,PRES,Republican President Re-election,3446.0,1146.0,4592.0
268,2004.0,1013.0,G,PRES,Republican President Re-election,3413.0,4979.0,8392.0
269,2008.0,1013.0,G,PRES,Open Seat,4188.0,5485.0,9673.0
270,2012.0,1013.0,G,PRES,Democratic President Re-election,4374.0,5087.0,9461.0
271,2016.0,1013.0,G,PRES,Open Seat,3726.0,4901.0,8627.0
272,2020.0,1013.0,G,PRES,Republican President Re-election,3965.0,5458.0,9423.0
307,2004.0,1015.0,G,PRES,Republican President Re-election,15083.0,29814.0,44897.0
308,2008.0,1015.0,G,PRES,Open Seat,16334.0,32348.0,48682.0
309,2012.0,1015.0,G,PRES,Democratic President Re-election,15511.0,30278.0,45789.0
310,2016.0,1015.0,G,PRES,Open Seat,13242.0,32865.0,46107.0
311,2020.0,1015.0,G,PRES,Republican President Re-election,15216.0,35101.0,50317.0
346,2004.0,1017.0,G,PRES,Republican President Re-election,5347.0,7622.0,12969.0
347,2008.0,1017.0,G,PRES,Open Seat,6799.0,8067.0,14866.0
348,2012.0,1017.0,G,PRES,Democratic President Re-election,6871.0,7626.0,14497.0
349,2016.0,1017.0,G,PRES,Open Seat,5784.0,7843.0,13627.0
350,2020.0,1017.0,G,PRES,Republican President Re-election,6365.0,8753.0,15118.0
385,2004.0,1019.0,G,PRES,Republican President Re-election,3040.0,5923.0,8963.0
386,2008.0,1019.0,G,PRES,Open Seat,2306.0,7298.0,9604.0
387,2012.0,1019.0,G,PRES,Democratic President Re-election,2132.0,7506.0,9638.0
388,2016.0,1019.0,G,PRES,Open Seat,1547.0,8953.0,10500.0
389,2020.0,1019.0,G,PRES,Republican President Re-election,1624.0,10583.0,12207.0
424,2004.0,1021.0,G,PRES,Republican President Re-election,3778.0,12829.0,16607.0
425,2008.0,1021.0,G,PRES,Open Seat,3674.0,13960.0,17634.0
426,2012.0,1021.0,G,PRES,Democratic President Re-election,3397.0,13932.0,17329.0
427,2016.0,1021.0,G,PRES,Open Seat,2911.0,15081.0,17992.0
428,2020.0,1021.0,G,PRES,Republican President Re-election,3073.0,16085.0,19158.0
463,2004.0,1023.0,G,PRES,Republican President Re-election,3303.0,3897.0,7200.0
464,2008.0,1023.0,G,PRES,Open Seat,3636.0,4223.0,7859.0
465,2012.0,1023.0,G,PRES,Democratic President Re-election,3786.0,4152.0,7938.0
